,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ITIL 4,,,,,,,
"O ITIL 4 é o padrão mundial para a gestão de serviços de Tecnologias de Informação, oferecendo um conjunto de 34 práticas.",,,,,,,
,,,,,,,
#,Código,Tipo,Dono do Processo,Prática / Processo (EN),Prática / Processo (PT),Modelo BPMN (PT),Descrição
24,scontmtb,Service Management,Coordenador do NASR,Service Continuity Management,Gestão da Continuidade de Serviço,,"Garante a disponibilidade e o desempenho de um serviço a um nível suficiente durante um desastre. Fornece uma estrutura para a construção de resiliência organizacional, considerando todos os aspetos, como a entrega de respostas eficazes para salvaguardar os interesses das partes interessadas, manter a reputação da marca, etc."
25,sdestb,Service Management,Responsável da equipa Gestão de Clientes e Serviços,Service Design,Desenho de Serviço,,"Ajuda a conceber produtos e serviços adequados ao uso e alinhados com os propósitos definidos e entregues com sucesso no ecossistema atual. O foco é no planeamento, gestão de pessoas, parceiros e fornecedores, informação, comunicação e tecnologia."
26,sdesktb,Service Management,Responsável da equipa Gestão de Clientes e Serviços,Service Desk,Service Desk,,Captura a procura por resolução de incidentes e pedidos de serviço.
27,sfinmtb,General,,Service Financial Management,Gestão Financeira dos Serviços,,Apoia os planos e estratégias da organização para uma gestão eficaz dos serviços. Garante a utilização eficaz e eficiente dos recursos financeiros.
28,slevmtb,Service Management,,Service Level Management,Gestão do Nível de Serviço,,"Define metas baseadas no negócio para o desempenho do serviço. Garante que a prestação de serviços é avaliada, monitorizada e gerida de acordo com as metas definidas."
29,srmtb,Service Management,Responsável da equipa Gestão de Clientes e Serviços,Service Request Management,Gestão de Pedidos de Serviço,0501-00-gestao-pedidos-servico,"Lida com pedidos de serviço predefinidos, iniciados pelo utilizador de forma eficaz e amigável."
30,svaltestb,Service Management,,Service Validation and Testing,Validação e Testes de Serviço,,Garante que os produtos e serviços novos ou alterados cumprem os requisitos definidos. Requer que sejam definidos indicadores mensuráveis ​​de desempenho e de qualidade. Também exige que sejam estabelecidos requisitos de teste apropriados.
31,sdmtb,Technical Management,,Software Development and Management,Gestão de Desenvolvimento de Software,,"Verifica se as aplicações estão alinhadas com as necessidades das partes interessadas internas e externas em relação à funcionalidade, fiabilidade, capacidade de manutenção, conformidade e capacidade de auditoria."
32,stratmtb,General,,Strategy Management,Gestão Estratégica,,"Define objetivos específicos, cursos de ação e aloca os recursos para os atingir. Estabelece a direção e as prioridades para o futuro."
33,supmtb,General,Diretor DSST e DAS,Supplier Management,Gestão de Fornecedores,,"Ajuda a construir relações colaborativas mais próximas com os fornecedores, identifica oportunidades e trabalha para minimizar os riscos."
34,wfmtb,General,,Workforce Talent Management,Gestão de Talento,,"Ajuda a organização a concentrar-se no planeamento, recrutamento, integração, aprendizagem e desenvolvimento eficazes, medição do desempenho e planeamento da sucessão."
